source_id,source_implementation,model,revision,pool_manifest_sha256,method,reporting_role,qid,ordinal,category_id,category_name,citation_count,literal_extraction_decision,metric_decision,audit_flags,literal_citation_slice_included,included,exclusion_reason,k_chunks,found_citation_count,cited_article_hit,citation_recall,all_citations,citation_ndcg
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-74968d234f17ad45ac54f8ca246781c63c406f2c81f87a5dd2da05d7855a88db,1,267,УСН,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,10,1,true,0.500000000000,false,0.613147192765
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-74968d234f17ad45ac54f8ca246781c63c406f2c81f87a5dd2da05d7855a88db,1,267,УСН,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,20,2,true,1.000000000000,true,0.778842958531
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-74968d234f17ad45ac54f8ca246781c63c406f2c81f87a5dd2da05d7855a88db,1,267,УСН,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,50,2,true,1.000000000000,true,0.778842958531
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-53f9a90b67f83165dbd38ae62c52db40093d77c61a1fa7284c8aae2684ea3df8,2,259,Налог на имущество,0,no_explicit_citation,no_explicit_citation,,false,false,no_explicit_citation,10,,,,,
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-53f9a90b67f83165dbd38ae62c52db40093d77c61a1fa7284c8aae2684ea3df8,2,259,Налог на имущество,0,no_explicit_citation,no_explicit_citation,,false,false,no_explicit_citation,20,,,,,
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-53f9a90b67f83165dbd38ae62c52db40093d77c61a1fa7284c8aae2684ea3df8,2,259,Налог на имущество,0,no_explicit_citation,no_explicit_citation,,false,false,no_explicit_citation,50,,,,,
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-4899dbbdef7c60d4cd061aa18eccff04951d8cef7d3eda42eb3b6dd057864b9e,3,705,Налоговый контроль,1,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,10,1,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-4899dbbdef7c60d4cd061aa18eccff04951d8cef7d3eda42eb3b6dd057864b9e,3,705,Налоговый контроль,1,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,20,1,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-4899dbbdef7c60d4cd061aa18eccff04951d8cef7d3eda42eb3b6dd057864b9e,3,705,Налоговый контроль,1,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,50,1,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-a6972265d2fbda06ad2bd0691ec726a0cfaff2a7d281c5ea023d567ae5bece75,4,263,НДФЛ,4,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,partial_scope,true,true,,10,0,false,0.000000000000,false,0.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-a6972265d2fbda06ad2bd0691ec726a0cfaff2a7d281c5ea023d567ae5bece75,4,263,НДФЛ,4,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,partial_scope,true,true,,20,0,false,0.000000000000,false,0.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-a6972265d2fbda06ad2bd0691ec726a0cfaff2a7d281c5ea023d567ae5bece75,4,263,НДФЛ,4,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,partial_scope,true,true,,50,2,true,0.500000000000,false,0.149881340199
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-1deeca8df123eb5d20c48070c0d2b1760d23030ff8514cab6197926f548ed907,5,704,Трансфертное ценообразование,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,10,2,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-1deeca8df123eb5d20c48070c0d2b1760d23030ff8514cab6197926f548ed907,5,704,Трансфертное ценообразование,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,20,2,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-1deeca8df123eb5d20c48070c0d2b1760d23030ff8514cab6197926f548ed907,5,704,Трансфертное ценообразование,2,accepted_literal_citation_extraction,eligible_preliminary_filtered_citation_coverage,,true,true,,50,2,true,1.000000000000,true,1.000000000000
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-5e14e1b0105b4fc9f759789dd43b00ff4471d4870d31642101a0f21b70eba490,6,911,Налог на профессиональный доход,0,no_explicit_citation,no_explicit_citation,,false,false,no_explicit_citation,10,,,,,
berta,embedding,sergeyzh/BERTA,914c8c8aed14042ed890fc2c662d5e9e66b2faa7,624bf7d5d8e5cc7d5bd4cd590ce5da41157051eaae95b8c1bf5e4c8f09558fdc,bm25,branch_diagnostic,fns-5e14e1b0105b4fc9f759789dd43b00ff4471d4870d31642101a0f21b70eba490,6,911,Налог на профессиональный доход,0,no_explicit_citation,no_explicit_citation,,false,false,no_explicit_citation,20,,,,,
