strategy,qid,kind,rank,latency_ms
dense,exact-001,exact,1,45
dense,exact-002,exact,1,44
dense,exact-003,exact,2,45
dense,exact-004,exact,1,44
dense,exact-005,exact,2,44
dense,exact-006,exact,1,44
dense,exact-007,exact,2,44
dense,exact-008,exact,1,43
dense,exact-009,exact,1,50
dense,exact-010,exact,1,57
dense,exact-011,exact,1,52
dense,exact-012,exact,1,53
dense,exact-013,exact,1,51
dense,exact-014,exact,1,50
dense,exact-015,exact,1,50
dense,exact-016,exact,1,49
dense,exact-017,exact,1,44
dense,exact-018,exact,1,44
dense,exact-019,exact,1,42
dense,exact-020,exact,1,43
dense,exact-021,exact,1,44
dense,exact-022,exact,1,44
dense,exact-023,exact,4,43
dense,exact-024,exact,6,43
dense,exact-025,exact,0,43
dense,exact-026,exact,1,44
dense,exact-027,exact,7,44
dense,exact-028,exact,1,42
dense,exact-029,exact,1,43
dense,exact-030,exact,6,43
dense,exact-031,exact,1,44
dense,exact-032,exact,1,42
dense,exact-033,exact,1,44
dense,exact-034,exact,9,42
dense,exact-035,exact,1,42
dense,exact-036,exact,2,42
dense,exact-037,exact,0,43
dense,exact-038,exact,1,43
dense,exact-039,exact,3,45
dense,exact-040,exact,1,45
dense,exact-041,exact,1,44
dense,exact-042,exact,1,43
dense,exact-043,exact,1,43
dense,exact-044,exact,2,43
dense,exact-045,exact,1,42
dense,exact-046,exact,2,43
dense,exact-047,exact,1,43
dense,exact-048,exact,1,43
dense,exact-049,exact,2,42
dense,exact-050,exact,2,42
dense,exact-051,exact,2,43
dense,exact-052,exact,1,42
dense,exact-053,exact,1,44
dense,exact-054,exact,0,44
dense,exact-055,exact,1,43
dense,exact-056,exact,1,44
dense,exact-057,exact,1,43
dense,exact-058,exact,1,42
dense,exact-059,exact,9,44
dense,exact-060,exact,1,45
dense,exact-061,exact,1,52
dense,exact-062,exact,1,43
dense,exact-063,exact,6,43
dense,exact-064,exact,1,46
dense,exact-065,exact,1,43
dense,exact-066,exact,1,43
dense,exact-067,exact,1,44
dense,exact-068,exact,0,43
dense,exact-069,exact,2,44
dense,exact-070,exact,1,45
dense,exact-071,exact,0,44
dense,exact-072,exact,1,44
dense,exact-073,exact,1,43
dense,exact-074,exact,1,43
dense,exact-075,exact,2,44
dense,exact-076,exact,1,44
dense,exact-077,exact,1,43
dense,exact-078,exact,1,44
dense,exact-079,exact,1,44
dense,exact-080,exact,1,43
dense,exact-081,exact,1,43
dense,exact-082,exact,1,43
dense,exact-083,exact,1,42
dense,exact-084,exact,1,44
dense,exact-085,exact,1,44
dense,exact-086,exact,1,43
dense,exact-087,exact,1,44
dense,exact-088,exact,0,44
dense,exact-089,exact,1,43
dense,exact-090,exact,1,44
dense,exact-091,exact,1,44
dense,exact-092,exact,2,43
dense,exact-093,exact,1,35
dense,exact-094,exact,0,27
dense,exact-095,exact,0,39
dense,exact-096,exact,0,37
dense,exact-097,exact,1,39
dense,exact-098,exact,0,39
dense,exact-099,exact,1,38
dense,exact-100,exact,1,43
dense,exact-101,exact,2,42
dense,exact-102,exact,2,45
dense,exact-103,exact,1,45
dense,exact-104,exact,1,43
dense,exact-105,exact,1,44
dense,exact-106,exact,2,45
dense,exact-107,exact,1,46
dense,exact-108,exact,1,46
dense,exact-109,exact,1,45
dense,exact-110,exact,1,42
dense,exact-111,exact,0,43
dense,exact-112,exact,2,43
dense,exact-113,exact,1,43
dense,exact-114,exact,3,42
dense,exact-115,exact,4,42
dense,exact-116,exact,4,43
dense,exact-117,exact,2,43
dense,exact-118,exact,1,41
dense,exact-119,exact,1,42
dense,exact-120,exact,1,43
dense,semantic-001,semantic,1,42
dense,semantic-002,semantic,1,43
dense,semantic-003,semantic,0,43
dense,semantic-004,semantic,1,42
dense,semantic-005,semantic,5,43
dense,semantic-006,semantic,1,44
dense,semantic-007,semantic,2,43
dense,semantic-008,semantic,1,43
dense,semantic-009,semantic,1,43
dense,semantic-010,semantic,8,43
dense,semantic-011,semantic,1,43
dense,semantic-012,semantic,1,44
dense,semantic-013,semantic,2,43
dense,semantic-014,semantic,1,43
dense,semantic-015,semantic,2,42
dense,semantic-016,semantic,1,43
dense,semantic-017,semantic,1,43
dense,semantic-018,semantic,1,43
dense,semantic-019,semantic,1,44
dense,semantic-020,semantic,1,43
dense,semantic-021,semantic,2,54
dense,semantic-022,semantic,1,44
dense,semantic-023,semantic,4,44
dense,semantic-024,semantic,9,42
dense,semantic-025,semantic,0,45
dense,semantic-026,semantic,1,45
dense,semantic-027,semantic,0,45
dense,semantic-028,semantic,1,46
dense,semantic-029,semantic,1,45
dense,semantic-030,semantic,7,44
dense,semantic-031,semantic,2,45
dense,semantic-032,semantic,1,44
dense,semantic-033,semantic,1,35
dense,semantic-034,semantic,0,35
dense,semantic-035,semantic,1,38
dense,semantic-036,semantic,2,40
dense,semantic-037,semantic,0,40
dense,semantic-038,semantic,1,41
dense,semantic-039,semantic,0,40
dense,semantic-040,semantic,1,41
dense,semantic-041,semantic,2,42
dense,semantic-042,semantic,1,41
dense,semantic-043,semantic,1,42
dense,semantic-044,semantic,1,42
dense,semantic-045,semantic,1,42
dense,semantic-046,semantic,2,43
dense,semantic-047,semantic,1,42
dense,semantic-048,semantic,1,42
dense,semantic-049,semantic,2,42
dense,semantic-050,semantic,7,42
dense,semantic-051,semantic,3,42
dense,semantic-052,semantic,2,42
dense,semantic-053,semantic,1,42
dense,semantic-054,semantic,0,43
dense,semantic-055,semantic,1,42
dense,semantic-056,semantic,1,42
dense,semantic-057,semantic,1,42
dense,semantic-058,semantic,1,40
dense,semantic-059,semantic,0,40
dense,semantic-060,semantic,1,42
dense,semantic-061,semantic,1,42
dense,semantic-062,semantic,4,42
dense,semantic-063,semantic,5,42
dense,semantic-064,semantic,1,42
dense,semantic-065,semantic,1,42
dense,semantic-066,semantic,1,42
dense,semantic-067,semantic,1,42
dense,semantic-068,semantic,0,42
dense,semantic-069,semantic,2,42
dense,semantic-070,semantic,1,42
dense,semantic-071,semantic,0,43
dense,semantic-072,semantic,1,42
dense,semantic-073,semantic,1,43
dense,semantic-074,semantic,1,42
dense,semantic-075,semantic,2,42
dense,semantic-076,semantic,1,42
dense,semantic-077,semantic,1,42
dense,semantic-078,semantic,1,43
dense,semantic-079,semantic,1,42
dense,semantic-080,semantic,1,42
dense,semantic-081,semantic,1,41
dense,semantic-082,semantic,1,43
dense,semantic-083,semantic,1,42
dense,semantic-084,semantic,1,42
dense,semantic-085,semantic,1,43
dense,semantic-086,semantic,1,42
dense,semantic-087,semantic,1,42
dense,semantic-088,semantic,0,42
dense,semantic-089,semantic,2,43
dense,semantic-090,semantic,1,38
dense,semantic-091,semantic,1,25
dense,semantic-092,semantic,2,33
dense,semantic-093,semantic,1,30
dense,semantic-094,semantic,0,28
dense,semantic-095,semantic,0,31
dense,semantic-096,semantic,0,30
dense,semantic-097,semantic,2,31
dense,semantic-098,semantic,0,32
dense,semantic-099,semantic,2,33
dense,semantic-100,semantic,1,34
dense,semantic-101,semantic,3,35
dense,semantic-102,semantic,2,36
dense,semantic-103,semantic,1,37
dense,semantic-104,semantic,1,39
dense,semantic-105,semantic,1,40
dense,semantic-106,semantic,2,42
dense,semantic-107,semantic,1,40
dense,semantic-108,semantic,1,43
dense,semantic-109,semantic,1,40
dense,semantic-110,semantic,1,42
dense,semantic-111,semantic,0,43
dense,semantic-112,semantic,2,42
dense,semantic-113,semantic,1,42
dense,semantic-114,semantic,6,39
dense,semantic-115,semantic,4,42
dense,semantic-116,semantic,4,41
dense,semantic-117,semantic,1,41
dense,semantic-118,semantic,1,42
dense,semantic-119,semantic,1,40
dense,semantic-120,semantic,1,42
bm25,exact-001,exact,1,4
bm25,exact-002,exact,1,3
bm25,exact-003,exact,4,3
bm25,exact-004,exact,1,2
bm25,exact-005,exact,9,3
bm25,exact-006,exact,1,3
bm25,exact-007,exact,1,3
bm25,exact-008,exact,1,3
bm25,exact-009,exact,1,3
bm25,exact-010,exact,1,3
bm25,exact-011,exact,1,3
bm25,exact-012,exact,2,3
bm25,exact-013,exact,1,3
bm25,exact-014,exact,1,3
bm25,exact-015,exact,4,3
bm25,exact-016,exact,1,4
bm25,exact-017,exact,1,4
bm25,exact-018,exact,1,2
bm25,exact-019,exact,1,3
bm25,exact-020,exact,1,3
bm25,exact-021,exact,1,2
bm25,exact-022,exact,1,3
bm25,exact-023,exact,2,3
bm25,exact-024,exact,2,3
bm25,exact-025,exact,1,3
bm25,exact-026,exact,1,3
bm25,exact-027,exact,1,3
bm25,exact-028,exact,1,4
bm25,exact-029,exact,1,3
bm25,exact-030,exact,1,3
bm25,exact-031,exact,1,3
bm25,exact-032,exact,1,3
bm25,exact-033,exact,1,3
